Round Number,Division,Date,Venue,Sub-venue,Time,Home Team,Away Team
1,Division 8 (Black) Men,2025-06-14,Guildford Grammar School,Turf,17:30,Mods-OGM M6,NC Raiders M5
2,Division 8 (Black) Men,2025-06-21,Lemnos Field,Turf,15:30,Lions M3,Mods-OGM M6
